"","Pixel_Lat","Pixel_Long","Turnover_time"
"1",-17.5845165252686,145.648361206055,80.3046959910462
"2",-17.3448715209961,145.887344360352,40.0791251412501
"3",-17.3419761657715,145.405807495117,58.9332099125822
"4",-17.1122608184814,145.853790283203,63.920476809629
"5",-17.0994338989258,-64.8808288574219,34.156703951791
"6",-17.0988731384277,145.649017333984,102.037331401965
"7",-16.619457244873,145.400100708008,109.372329148675
"8",-16.6143493652344,-64.6382904052734,78.0137822503675
"9",-16.3718070983887,145.163269042969,53.5747300963018
"10",-16.1292533874512,145.163269042969,126.849997334392
"11",-15.6441516876221,-62.6979217529297,39.2337657269052
"12",-15.4016094207764,-61.2426414489746,32.8340652165447
"13",-14.9165258407593,-52.2684669494629,39.552319100805
"14",-14.6739835739136,-60.7575569152832,59.3640181739431
"15",-14.6739835739136,-52.2684669494629,71.7238851166441
"16",-14.4314422607422,-61.4851837158203,30.6486345814105
"17",-14.4314422607422,-61.2426414489746,30.2872928176796
"18",-14.4314422607422,-60.7575569152832,35.4396345128112
"19",-14.4311037063599,-60.999568939209,44.6724090059478
"20",-13.7037887573242,143.222900390625,99.5289541555513
"21",-12.7336177825928,-69.9742736816406,47.0009949148529
"22",-12.7336177825928,-69.2466430664062,59.3590911456694
"23",-12.4910764694214,-69.0040893554688,53.4741875945202
"24",-12.00599193573,-71.4295501708984,59.0034391406096
"25",-12.00599193573,-71.1869812011719,53.6116812779795
"26",-11.7634506225586,-71.4295501708984,51.515457464785
"27",-11.0357942581177,-65.6084594726562,81.3834601112396
"28",-10.793251991272,-68.7615356445312,58.1147659933609
"29",-10.5507106781006,-68.2764511108398,48.8647078106932
"30",-10.3081684112549,-75.3102569580078,42.1945495404441
"31",-10.3081684112549,-65.6084594726562,39.6635791279398
"32",-10.0656261444092,-67.5488204956055,22.1457619895327
"33",-10.0656261444092,-65.8509979248047,60.8028240912488
"34",-10.0656261444092,-65.6084594726562,74.425890735979
"35",-9.82308483123779,-67.5488204956055,25.1165864643172
"36",-9.82308483123779,-65.8509979248047,86.0301321331551
"37",-9.82308483123779,-65.6084594726562,90.2260598888648
"38",-9.58054256439209,-55.9066581726074,86.172090092018
"39",-9.09543037414551,-72.1571807861328,35.0533311114743
"40",-8.85288619995117,-72.8848037719727,50.3869905421177
"41",-8.61034488677979,-72.8848037719727,34.7097879536283
"42",-8.61034488677979,36.0179481506348,32.7108343732716
"43",-7.88271903991699,36.9881439208984,165.949885073066
"44",-7.64017677307129,36.9881439208984,164.39554276738
"45",-5.69981098175049,-49.6004753112793,122.873052274099
"46",-5.69981098175049,-49.1153945922852,43.2058374531326
"47",-5.69981098175049,-48.8728523254395,82.4092973890426
"48",-5.2147274017334,38.6859397888184,146.083521088797
"49",-4.9721851348877,-73.6124420166016,66.0338326381686
"50",-4.9721851348877,-73.3698883056641,87.8492648711354
"51",-4.00259590148926,-73.3706436157227,43.6927132259688
"52",-4.00191593170166,-69.9741363525391,89.8357293924267
"53",-3.7595067024231,-73.3700180053711,81.3905363064949
"54",-3.7592408657074,-70.2166748046875,35.1512705330785
"55",-3.51789951324463,-72.8856811523438,78.3391909910513
"56",-3.5172963142395,-72.1563415527344,39.8721207470606
"57",-3.2743616104126,-54.9364585876465,162.907775846498
"58",-3.27430081367493,-72.8846588134766,57.1510849469239
"59",-3.03181958198547,-69.9742736816406,42.0030589596456
"60",-3.02046537399292,-60.0205574035645,79.5212330219546
"61",-3.01808881759644,-59.7910232543945,55.1035301105319
"62",-2.5467357635498,-60.2724723815918,84.1011920363911
"63",-2.5467357635498,-60.0299301147461,51.8672188905336
"64",-2.30417919158936,-60.0299301147461,94.2665638777785
"65",-2.30417919158936,-59.7873687744141,82.3657937114097
"66",-1.83331406116486,-51.2813491821289,107.871603137868
"67",-1.81907963752747,-47.1750259399414,100.578956602352
"68",-1.81907963752747,13.2187023162842,73.2025666766645
"69",-1.81907963752747,20.4950504302979,80.6793403749516
"70",-1.81907963752747,20.7376117706299,99.2322233184417
"71",-1.81454694271088,-51.5468139648438,92.9464478390309
"72",-1.57770419120789,-56.3932647705078,68.5166916660171
"73",-1.3339958190918,-47.1750259399414,55.1789328536235
"74",-1.3339958190918,11.0357942581177,50.9333249134528
"75",-1.3339958190918,13.7037887573242,125.689592761004
"76",-1.33288860321045,-56.3893051147461,48.5548528630535
"77",-1.09145390987396,-77.4931640625,39.8416560004353
"78",-1.09145390987396,-47.6601104736328,45.0071481471558
"79",-1.09145390987396,11.2783365249634,118.500829759308
"80",-1.09145390987396,116.542930603027,87.0331129572741
"81",-1.08889544010162,116.786560058594,28.3578389446795
"82",-0.848911881446838,-52.2684669494629,93.3598740952302
"83",-0.848911881446838,116.542930603027,62.120562951879
"84",-0.606369972229004,-77.4931640625,61.8202787261292
"85",-0.606369972229004,-76.5229949951172,35.725558384454
"86",-0.606369972229004,-76.2804565429688,49.3534563577231
"87",-0.606369972229004,-76.0379104614258,51.5541503816826
"88",-0.363828003406525,11.5208950042725,80.5218213745675
"89",-0.121286064386368,11.5208950042725,99.5236742904341
"90",-0.121286064386368,12.2485342025757,133.905485159053
"91",-0.121286064386368,13.2187023162842,44.8890139207402
"92",-0.121286064386368,114.117477416992,82.1882433202098
"93",-0.121286064386368,115.330215454102,102.190340344658
"94",0.363828003406525,10.3081684112549,81.7671136418834
"95",0.363828003406525,11.0357942581177,85.5132676976824
"96",0.363828003406525,11.2783365249634,118.183846153268
"97",0.363828003406525,12.2485342025757,97.2234519497474
"98",0.363828003406525,12.7336177825928,76.7263720532219
